Betriebs-Nr,Betriebsname,Einleitungsart,Anhang der AbwV,Nr. 4. BImSchV,IED-Nr.,Gemeinde,Zust. Behörde,Arbeitsstätten-Nr.,District,Annex_Num,utm_east,utm_north,anfallstellen_json,max_abwasservolumen_d,max_abwasservolumen_h,gesamtabwasser_a
358540,976. Wasserschneideanlage,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Düren,Kreis Düren,,D_ren,40.0,323268,5627678,"[{""nr"": 1, ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22225,Anker Gebr. Schoeller GmbH & Co KG,"industrielle/gewerbliche Direkteinleitung
Indirekteinleitung","38 Textilherstellung, Textilveredlung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","10.23
1.2.3.1",0,Düren,BR Köln,0918509,D_ren,38.0,321452,5632513,"[{""nr"": 1, ""bezeichnung"": ""NW->E2"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 2, ""bezeichnung"": ""NW->E3"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 3, ""bezeichnung"": ""NW->E4"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 4, ""bezeichnung"": ""NW->E5"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 5, ""bezeichnung"": ""Kesselwasser"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": ""4850""}, {""nr"": 6, ""bezeichnung"": ""NW->E9"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 7, ""bezeichnung"": ""NW->E8"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 8, ""bezeichnung"": ""NW->E7"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 9, ""bezeichnung"": ""NW->E6"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 10, ""bezeichnung"": ""KÜWA E8"", ""abwasserbeschaffenheit"": ""Kühlwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": ""240"", ""max_a"": null}, {""nr"": 11, ""bezeichnung"": ""Textilherstellung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 12, ""bezeichnung"": ""Textilherstellung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 13, ""bezeichnung"": ""Textilherstellung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 14, ""bezeichnung"": ""NW -> E1"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 15, ""bezeichnung"": ""NW -> E19"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 16, ""bezeichnung"": ""NW->E10"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 17, ""bezeichnung"": ""NW->E11"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 18, ""bezeichnung"": ""NW->E12"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 19, ""bezeichnung"": ""NW->E13"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 20, ""bezeichnung"": ""NW->E14"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 21, ""bezeichnung"": ""NW->E16"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 22, ""bezeichnung"": ""NW->E17"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 23, ""bezeichnung"": ""NW->E18"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 24, ""bezeichnung"": ""NW->E20"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 25, ""bezeichnung"": ""NW->E21"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 26, ""bezeichnung"": ""NW->E22"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,240,4850
358154,Autolackiererei,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Linnich,Kreis Düren,,D_ren,40.0,306952,5647850,"[{""nr"": 1, ""bezeichnung"": ""Nassschleifen von Kfz"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
358203,Autolackiererei,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Düren,Kreis Düren,,D_ren,40.0,325125,5632043,"[{""nr"": 1, ""bezeichnung"": ""Naßschleiferei"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
2225874,Consumer Medical Care GmbH,Indirekteinleitung,"38 Textilherstellung, Textilveredlung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","5.1.1.2
10.10.1","0
6.2",Düren,Kreis Düren,9989278,D_ren,38.0,320910,5634150,"[{""nr"": 1, ""bezeichnung"": ""Dampferzeugung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 2, ""bezeichnung"": ""Textilveredelung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 3, ""bezeichnung"": ""Wasseraufbereitung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
358196,Eloxal u. Hartanodisation,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Jülich,Kreis Düren,,D_ren,40.0,315173,5644115,"[{""nr"": 1, ""bezeichnung"": ""Eloxal u. Hartanodisation"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
2222532,Enaspol GmbH,Indirekteinleitung,22 Chemische Industrie,4.1.11,4.1.k,Düren,BR Köln,9015435,D_ren,22.0,323028,5627578,"[{""nr"": 1, ""bezeichnung"": ""Waschrohstoffherstellung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""22 Chemische Industrie"", ""max_d"": null, ""max_h"": null, ""max_a"": ""24217""}]",,,24217
358418,Entfettung von Metallteilen,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Jülich,Kreis Düren,,D_ren,40.0,314608,5642968,"[{""nr"": 1, ""bezeichnung"": ""Entfettung von Metallteilen"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
358480,Gleitschleiferei,industrielle/gewerbliche Direkteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Kreuzau,Kreis Düren,,D_ren,40.0,324917,5626533,"[{""nr"": 1, ""bezeichnung"": ""Gleitschleiferei"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
35859,Kfz-Lackierung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Niederzier,Kreis Düren,,D_ren,40.0,319490,5638050,"[{""nr"": 1, ""bezeichnung"": ""Naßschleiferei"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
358424,Oberflächenbehandlung v. Metallen,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Düren,Kreis Düren,,D_ren,40.0,321158,5635622,"[{""nr"": 1, ""bezeichnung"": ""Oberflächenbeh. v. Metallen"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
2222989,OTEC Oberflächentechnik GmbH & Co. KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.10.1,2.6,Düren,BR Köln,9000909,D_ren,40.0,322251,5626799,"[{""nr"": 1, ""bezeichnung"": ""Lohnbeizerei"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": ""5600""}]",,,5600
22211,Papierfabrik Zerkall / Renker & Söhne GmbH & Co KG,industrielle/gewerbliche Direkteinleitung,"28 Herstellung von Papier, Karton oder Pappe",,,Hürtgenwald,Kreis Düren,0918499,D_ren,28.0,319739,5618376,"[{""nr"": 1, ""bezeichnung"": ""NW -> E2"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 2, ""bezeichnung"": ""NW -> E1"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 3, ""bezeichnung"": ""Produktionsabwasser"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""28 Herstellung von Papier, Karton oder Pappe"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 4, ""bezeichnung"": ""NW -> E3"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22232251,Sumteq GmbH,Indirekteinleitung,"22 Chemische Industrie
31.2 Nr. 2.2 Anforderungen an das Abwasser aus Wasseraufbereitung",,,Düren,BR Köln,,D_ren,22.0,320569,5633604,"[{""nr"": 1, ""bezeichnung"": ""Polymerisation"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""22 Chemische Industrie"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 2, ""bezeichnung"": ""Wasseraufbereitung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""31.2 Nr. 2.2 Anforderungen an das Abwasser aus Wasseraufbereitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
358481,Teilereinigung,industrielle/gewerbliche Direkteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Linnich,Kreis Düren,,D_ren,40.0,308600,5652020,"[{""nr"": 1, ""bezeichnung"": ""Teilereinigungsmaschine"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
358558,Teppichreinigung,,55 Wäschereien,,,Jülich,Kreis Düren,,D_ren,55.0,315381,5644047,"[{""nr"": 1, ""bezeichnung"": ""Teppichreinigung"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""55 Wäschereien"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22228,Thomas Josef Heimbach GmbH & Co. KG,"industrielle/gewerbliche Direkteinleitung
Indirekteinleitung","38 Textilherstellung, Textilveredlung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung
49 Mineralölhaltiges Abwasser","5.11
5.2.2
10.23
1.2.3.1",0,Düren,BR Köln,"0918532
9996212",D_ren,38.0,320658,5632109,"[{""nr"": 1, ""bezeichnung"": ""NW->Versickerung"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 2, ""bezeichnung"": ""Abschlämmung Dampfkessel"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": ""3500""}, {""nr"": 3, ""bezeichnung"": ""Abscheider Waschplatz"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""49 Mineralölhaltiges Abwasser"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 4, ""bezeichnung"": ""Abscheider Werkstatt+Waschhalle"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""49 Mineralölhaltiges Abwasser"", ""max_d"": null, ""max_h"": null, ""max_a"": ""2""}, {""nr"": 5, ""bezeichnung"": ""Aufbereitung Rurwasser"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": ""9000""}, {""nr"": 6, ""bezeichnung"": ""Spannrahmen 304"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 7, ""bezeichnung"": ""Aufbereitung Weichwasser"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": ""200""}, {""nr"": 8, ""bezeichnung"": ""Fixiermaschine K 118"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 9, ""bezeichnung"": ""NW E1"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 10, ""bezeichnung"": ""NW E3"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 11, ""bezeichnung"": ""NW E2"", ""abwasserbeschaffenheit"": ""Niederschlagswasser ohne Sonderbauwerk"", ""anhang"": """", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 12, ""bezeichnung"": ""Fixiermaschine K 117"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 13, ""bezeichnung"": ""Waschmaschine 30"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 14, ""bezeichnung"": ""KÜWA"", ""abwasserbeschaffenheit"": ""Kühlwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": ""400000""}]",,,3500; 2; 9000; 200; 400000
358587,Waschplatz f. Teppiche und Matten,Indirekteinleitung,55 Wäschereien,,,Düren,Kreis Düren,,D_ren,55.0,320867,5634736,"[{""nr"": 1, ""bezeichnung"": ""Waschplatz f. Teppiche"", ""abwasserbeschaffenheit"": ""sonstiges Abwasser (verändertes Wasser)"", ""anhang"": ""55 Wäschereien"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
2222170,Arcus Edelstahl GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.10.2,0,Weilerswist,BR Köln,0409908,Euskirchen,40.0,348547,5624567,"[{""nr"": 1, ""bezeichnung"": ""Beizerei"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": ""14"", ""max_h"": null, ""max_a"": null}]",14,,
22223774,Deutsche Mechatronics GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mechernich,Kreis Euskirchen,0883508,Euskirchen,40.0,333292,5606931,"[{""nr"": 1, ""bezeichnung"": ""Oberflächenbehandlung von Metallen"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22232182,Moog e.K. - Wäscherei,Indirekteinleitung,55 Wäschereien,,,Schleiden,Kreis Euskirchen,,Euskirchen,55.0,324097,5604990,"[{""nr"": 1, ""bezeichnung"": ""Wäscherei"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""55 Wäschereien"", ""max_d"": ""90"", ""max_h"": null, ""max_a"": ""23400""}]",90,,23400
22223752,Schöller Werk GmbH & Co.KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Hellenthal,Kreis Euskirchen,0481874,Euskirchen,40.0,319484,5596288,"[{""nr"": 1, ""bezeichnung"": ""Werkstatt, Gleitschleiferei"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": ""2"", ""max_h"": null, ""max_a"": ""500""}]",2,,500
22229883,Chukyo Europe,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Hückelhoven,Kreis Heinsberg,,Heinsberg,40.0,308090,5656712,"[{""nr"": 1, ""bezeichnung"": ""Chukyo Europe"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22230014,E & K Leiterplatten GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Heinsberg,Kreis Heinsberg,,Heinsberg,40.0,299733,5660279,"[{""nr"": 1, ""bezeichnung"": ""Leiterplattenherstellung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22229978,HAZET-Werk,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Heinsberg,Kreis Heinsberg,,Heinsberg,40.0,297597,5660790,"[{""nr"": 1, ""bezeichnung"": ""Galvanikbetrieb"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22229843,Jansen Edelstahl GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,0,Wassenberg,Kreis Heinsberg,0349103,Heinsberg,40.0,299727,5665167,"[{""nr"": 1, ""bezeichnung"": ""Jansen Edelstahl GmbH"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22229888,KSK Industrielackierung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Geilenkirchen,Kreis Heinsberg,,Heinsberg,40.0,296516,5651962,"[{""nr"": 1, ""bezeichnung"": ""Lackiererei"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22231403,LBBZ - NRW GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Geilenkirchen,Kreis Heinsberg,9018981,Heinsberg,40.0,296177,5651005,"[{""nr"": 1, ""bezeichnung"": ""LBBZ - NRW GmbH"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": ""45"", ""max_h"": null, ""max_a"": ""14040""}]",45,,14040
22229929,Metallverarbeitung Schlafhorst-Saurer,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",1.2.3.1,0,Übach-Palenberg,Kreis Heinsberg,0113051,Heinsberg,40.0,296850,5645608,"[{""nr"": 1, ""bezeichnung"": ""Metallverarbeitung Schlafhorst-Saurer"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
2222002,Niro Technik GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.10.1,"0
2.6",Hückelhoven,BR Köln,0362589,Heinsberg,40.0,308309,5656819,"[{""nr"": 1, ""bezeichnung"": ""Metallverarbeitung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
2221986,Over Eloxal GmbH / Over Beschichtung GmbH,"industrielle/gewerbliche Direkteinleitung
Indirekteinleitung","40 Metallbearbeitung, Metallverarbeitung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","10.20
3.10.1
9.1.1.2","0
2.6",Hückelhoven,BR Köln,"0296414
0137341",Heinsberg,40.0,305987,5654747,"[{""nr"": 1, ""bezeichnung"": ""Beschichtungsbetrieb"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 2, ""bezeichnung"": ""Eloxalbetrieb"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}, {""nr"": 3, ""bezeichnung"": ""Over Eloxal GmbH"", ""abwasserbeschaffenheit"": ""Kühlwasser"", ""anhang"": ""31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
2224656,AUNDE Achter & Ebels GmbH,Indirekteinleitung,"38 Textilherstellung, Textilveredlung",10.23,0,Mönchengladbach,BR Düsseldorf,0017332,M_nchengladbach,38.0,319300,5674669,"[{""nr"": 1, ""bezeichnung"": ""Färberei"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""38 Textilherstellung, Textilveredlung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22230496,Bommes,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,40.0,322942,5676698,"[{""nr"": 1, ""bezeichnung"": ""Eloxieranlage"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": ""5"", ""max_h"": null, ""max_a"": null}]",5,,
22230493,FSP Frischsaft Produktionsges.,Indirekteinleitung,3 Herstellung von Nahrungsmitteln und Futtermitteln,7.34.2,6.4.b.ii,Mönchengladbach,Stadt Mönchengladbach,9020918,M_nchengladbach,3.0,324870,5670667,"[{""nr"": 1, ""bezeichnung"": ""Fruchtsaftherstellung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""3 Herstellung von Nahrungsmitteln und Futtermitteln"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22230460,Gesellschaft für Metallveredlung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,0,Mönchengladbach,Stadt Mönchengladbach,0009811,M_nchengladbach,40.0,322327,5675750,"[{""nr"": 1, ""bezeichnung"": ""Galvanik"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
22230494,Hahn,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,9003283,M_nchengladbach,40.0,318849,5668527,"[{""nr"": 1, ""bezeichnung"": ""Eloxal- Pulverbeschichtung"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": ""1"", ""max_h"": null, ""max_a"": ""300""}, {""nr"": 2, ""bezeichnung"": ""Gleitschliffanlage"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",1,,300
2224861,Heinz Gothe GmbH & Co. KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.10.1,"0
2.6",Mönchengladbach,BR Düsseldorf,0828275,M_nchengladbach,40.0,322418,5671570,"[{""nr"": 1, ""bezeichnung"": ""Beizerei"", ""abwasserbeschaffenheit"": ""Produktionsabwasser"", ""anhang"": ""40 Metallbearbeitung, Metallverarbeitung"", ""max_d"": null, ""max_h"": null, ""max_a"": null}]",,,
